_id,TimePeriod,LocationCode,SubGroup,NumberOfDeaths,NumberOfDeathsQF,NumberOfPatients,NumberOfPatientsQF,CrudeRate
481,2020Q2,S314H,All Admissions,456,"",8326,"",5.4768196012491
482,2020Q2,R103H,All Admissions,29,"",572,"",5.06993006993007
483,2020Q2,Z102H,All Admissions,14,"",439,"",3.18906605922551
484,2020Q2,W107H,All Admissions,14,"",499,"",2.80561122244489
485,2020Q2,F704H,All Admissions,352,"",6467,"",5.44301840111334
486,2020Q2,T101H,All Admissions,436,"",7020,"",6.21082621082621
487,2020Q2,T202H,All Admissions,82,"",1605,"",5.10903426791277
488,2020Q2,T312H,All Admissions,2,"",13,"",15.3846153846154
489,2020Q2,C313H,All Admissions,143,"",1810,"",7.90055248618784
490,2020Q2,C418H,All Admissions,347,"",4538,"",7.64654032613486
491,2020Q2,G107H,All Admissions,375,"",8439,"",4.44365446142908
492,2020Q2,G405H,All Admissions,682,"",13711,"",4.97410838013274
493,2020Q2,L106H,All Admissions,226,"",3543,"",6.37877504939317
494,2020Q2,L302H,All Admissions,191,"",2696,"",7.08456973293769
495,2020Q2,L308H,All Admissions,329,"",6499,"",5.06231727958147
496,2020Q2,D102H,All Admissions,25,"",1451,"",1.72294968986906
497,2020Q3,A101H,All Admissions,7,"",83,"",8.43373493975904
498,2020Q3,A111H,All Admissions,246,"",7417,"",3.31670486719698
499,2020Q3,A210H,All Admissions,228,"",5586,"",4.08163265306122
500,2020Q3,B120H,All Admissions,125,"",2574,"",4.85625485625486
501,2020Q3,Y144H,All Admissions,29,"",353,"",8.21529745042493
502,2020Q3,Y146H,All Admissions,196,"",4817,"",4.06892256591239
503,2020Q3,V217H,All Admissions,303,"",7734,"",3.9177657098526
504,2020Q3,N101H,All Admissions,386,"",9982,"",3.86696052895211
505,2020Q3,N411H,All Admissions,81,"",2298,"",3.52480417754569
506,2020Q3,C121H,All Admissions,21,"",448,"",4.6875
507,2020Q3,H103H,All Admissions,33,"",746,"",4.42359249329759
508,2020Q3,H202H,All Admissions,168,"",6191,"",2.71361654013891
509,2020Q3,H212H,All Admissions,18,"",478,"",3.76569037656904
510,2020Q3,S116H,All Admissions,158,"",5356,"",2.94996265870052
511,2020Q3,S308H,All Admissions,141,"",5480,"",2.57299270072993
512,2020Q3,S314H,All Admissions,384,"",11395,"",3.36989907854322
513,2020Q3,R103H,All Admissions,25,"",774,"",3.22997416020672
514,2020Q3,Z102H,All Admissions,16,"",673,"",2.37741456166419
515,2020Q3,W107H,All Admissions,27,"",803,"",3.36239103362391
516,2020Q3,F704H,All Admissions,371,"",8522,"",4.35343816005633
517,2020Q3,T101H,All Admissions,395,"",9838,"",4.01504370807075
518,2020Q3,T202H,All Admissions,95,"",2332,"",4.073756432247
519,2020Q3,T312H,All Admissions,1,"",863,"",0.115874855156431
520,2020Q3,C313H,All Admissions,128,"",2852,"",4.48807854137447
521,2020Q3,C418H,All Admissions,310,"",6506,"",4.76483246234245
522,2020Q3,G107H,All Admissions,335,"",12401,"",2.70139504878639
523,2020Q3,G405H,All Admissions,656,"",19760,"",3.31983805668016
524,2020Q3,L106H,All Admissions,227,"",5669,"",4.00423355089081
525,2020Q3,L302H,All Admissions,236,"",4454,"",5.29860799281545
526,2020Q3,L308H,All Admissions,246,"",7284,"",3.37726523887974
527,2020Q3,D102H,All Admissions,19,"",3303,"",0.575234635180139
528,2020Q4,A101H,All Admissions,7,"",74,"",9.45945945945946
529,2020Q4,A111H,All Admissions,379,"",6843,"",5.53850650299576
530,2020Q4,A210H,All Admissions,286,"",5170,"",5.53191489361702
531,2020Q4,B120H,All Admissions,145,"",2634,"",5.50493545937737
532,2020Q4,Y144H,All Admissions,21,"",404,"",5.1980198019802
533,2020Q4,Y146H,All Admissions,219,"",5483,"",3.99416377895313
534,2020Q4,V217H,All Admissions,352,"",7986,"",4.40771349862259
535,2020Q4,N101H,All Admissions,476,"",11178,"",4.25836464483807
536,2020Q4,N411H,All Admissions,79,"",2814,"",2.80739161336176
537,2020Q4,C121H,All Admissions,20,"",494,"",4.04858299595142
538,2020Q4,H103H,All Admissions,31,"",734,"",4.22343324250681
539,2020Q4,H202H,All Admissions,195,"",6166,"",3.16250405449238
540,2020Q4,H212H,All Admissions,27,"",419,"",6.44391408114559
541,2020Q4,S116H,All Admissions,264,"",6069,"",4.34997528423134
542,2020Q4,S308H,All Admissions,193,"",5350,"",3.60747663551402
543,2020Q4,S314H,All Admissions,469,"",11317,"",4.14420782892993
544,2020Q4,R103H,All Admissions,32,"",821,"",3.89768574908648
545,2020Q4,Z102H,All Admissions,14,"",745,"",1.87919463087248
546,2020Q4,W107H,All Admissions,25,"",1004,"",2.49003984063745
547,2020Q4,F704H,All Admissions,501,"",8456,"",5.9247871333964
548,2020Q4,T101H,All Admissions,568,"",10063,"",5.6444400278247
549,2020Q4,T202H,All Admissions,78,"",2372,"",3.28836424957841
550,2020Q4,T312H,All Admissions,0,"",679,"",0
551,2020Q4,C313H,All Admissions,152,"",3511,"",4.3292509256622
552,2020Q4,C418H,All Admissions,424,"",7049,"",6.01503759398496
553,2020Q4,G107H,All Admissions,554,"",12937,"",4.2822911030378
554,2020Q4,G405H,All Admissions,880,"",20786,"",4.23361878187241
555,2020Q4,L106H,All Admissions,327,"",6155,"",5.3127538586515
556,2020Q4,L302H,All Admissions,323,"",5444,"",5.93313739897134
557,2020Q4,L308H,All Admissions,399,"",7407,"",5.38679627379506
558,2020Q4,D102H,All Admissions,31,"",4505,"",0.688124306326304
559,2021Q1,A101H,All Admissions,3,"",77,"",3.8961038961039
560,2021Q1,A111H,All Admissions,353,"",5899,"",5.98406509577894
561,2021Q1,A210H,All Admissions,215,"",4324,"",4.97224791859389
562,2021Q1,B120H,All Admissions,154,"",2481,"",6.20717452640065
563,2021Q1,Y144H,All Admissions,33,"",385,"",8.57142857142857
564,2021Q1,Y146H,All Admissions,233,"",4470,"",5.21252796420582
565,2021Q1,V217H,All Admissions,422,"",7424,"",5.68426724137931
566,2021Q1,N101H,All Admissions,520,"",10392,"",5.00384911470362
567,2021Q1,N411H,All Admissions,85,"",2660,"",3.19548872180451
568,2021Q1,C121H,All Admissions,30,"",478,"",6.27615062761506
569,2021Q1,H103H,All Admissions,27,"",609,"",4.43349753694581
570,2021Q1,H202H,All Admissions,199,"",5362,"",3.71130175307721
571,2021Q1,H212H,All Admissions,22,"",402,"",5.4726368159204
572,2021Q1,S116H,All Admissions,231,"",6073,"",3.80372138975794
573,2021Q1,S308H,All Admissions,151,"",5540,"",2.72563176895307
574,2021Q1,S314H,All Admissions,511,"",10928,"",4.67606149341142
575,2021Q1,R103H,All Admissions,28,"",845,"",3.31360946745562
576,2021Q1,Z102H,All Admissions,25,"",795,"",3.14465408805031
577,2021Q1,W107H,All Admissions,30,"",741,"",4.04858299595142
578,2021Q1,F704H,All Admissions,444,"",7930,"",5.59899117276166
579,2021Q1,T101H,All Admissions,485,"",9045,"",5.36207849640685
580,2021Q1,T202H,All Admissions,96,"",2045,"",4.69437652811736
581,2021Q1,T312H,All Admissions,0,"",479,"",0
582,2021Q1,C313H,All Admissions,135,"",3036,"",4.44664031620553
583,2021Q1,C418H,All Admissions,391,"",6926,"",5.64539416690731
584,2021Q1,G107H,All Admissions,484,"",12159,"",3.98059050908792
585,2021Q1,G405H,All Admissions,768,"",19809,"",3.87702559442678
586,2021Q1,L106H,All Admissions,278,"",5656,"",4.91513437057991
587,2021Q1,L302H,All Admissions,300,"",5149,"",5.82637405321422
588,2021Q1,L308H,All Admissions,298,"",7020,"",4.24501424501424
589,2021Q1,D102H,All Admissions,29,"",5798,"",0.500172473266644
590,2021Q2,A101H,All Admissions,6,"",72,"",8.33333333333333
